"","Country/Region","Province/State","date","CumConfirmed","CumDeaths","CumRecovered","Lat","Long"
"1","Afghanistan","<all>",2020-01-22,0,0,0,NA,NA
"2","Afghanistan","<all>",2020-01-23,0,0,0,NA,NA
"3","Afghanistan","<all>",2020-01-24,0,0,0,NA,NA
"4","Afghanistan","<all>",2020-01-25,0,0,0,NA,NA
"5","Afghanistan","<all>",2020-01-26,0,0,0,NA,NA
"6","Afghanistan","<all>",2020-01-27,0,0,0,NA,NA
"7","Afghanistan","<all>",2020-01-28,0,0,0,NA,NA
"8","Afghanistan","<all>",2020-01-29,0,0,0,NA,NA
"9","Afghanistan","<all>",2020-01-30,0,0,0,NA,NA
"10","Afghanistan","<all>",2020-01-31,0,0,0,NA,NA
"11","Afghanistan","<all>",2020-02-01,0,0,0,NA,NA
"12","Afghanistan","<all>",2020-02-02,0,0,0,NA,NA
"13","Afghanistan","<all>",2020-02-03,0,0,0,NA,NA
"14","Afghanistan","<all>",2020-02-04,0,0,0,NA,NA
"15","Afghanistan","<all>",2020-02-05,0,0,0,NA,NA
"16","Afghanistan","<all>",2020-02-06,0,0,0,NA,NA
"17","Afghanistan","<all>",2020-02-07,0,0,0,NA,NA
"18","Afghanistan","<all>",2020-02-08,0,0,0,NA,NA
"19","Afghanistan","<all>",2020-02-09,0,0,0,NA,NA
"20","Afghanistan","<all>",2020-02-10,0,0,0,NA,NA
"21","Afghanistan","<all>",2020-02-11,0,0,0,NA,NA
"22","Afghanistan","<all>",2020-02-12,0,0,0,NA,NA
"23","Afghanistan","<all>",2020-02-13,0,0,0,NA,NA
"24","Afghanistan","<all>",2020-02-14,0,0,0,NA,NA
"25","Afghanistan","<all>",2020-02-15,0,0,0,NA,NA
"26","Afghanistan","<all>",2020-02-16,0,0,0,NA,NA
"27","Afghanistan","<all>",2020-02-17,0,0,0,NA,NA
"28","Afghanistan","<all>",2020-02-18,0,0,0,NA,NA
"29","Afghanistan","<all>",2020-02-19,0,0,0,NA,NA
"30","Afghanistan","<all>",2020-02-20,0,0,0,NA,NA
"31","Afghanistan","<all>",2020-02-21,0,0,0,NA,NA
"32","Afghanistan","<all>",2020-02-22,0,0,0,NA,NA
"33","Afghanistan","<all>",2020-02-23,0,0,0,NA,NA
"34","Afghanistan","<all>",2020-02-24,1,0,0,NA,NA
"35","Afghanistan","<all>",2020-02-25,1,0,0,NA,NA
"36","Afghanistan","<all>",2020-02-26,1,0,0,NA,NA
"37","Afghanistan","<all>",2020-02-27,1,0,0,NA,NA
"38","Afghanistan","<all>",2020-02-28,1,0,0,NA,NA
"39","Afghanistan","<all>",2020-02-29,1,0,0,NA,NA
"40","Afghanistan","<all>",2020-03-01,1,0,0,NA,NA
"41","Afghanistan","<all>",2020-03-02,1,0,0,NA,NA
"42","Afghanistan","<all>",2020-03-03,1,0,0,NA,NA
"43","Afghanistan","<all>",2020-03-04,1,0,0,NA,NA
